Date,Nom_Marchandise,Volume,Type_Marchandise
2021-01-31,Agrumes conteneurisés,9981.244703426277,TRAFIC CONTENEURISE
2021-01-31,Conserve de poisson conteneurisé,12189.048160904153,TRAFIC CONTENEURISE
2021-01-31,Poisson congelé conteneurisé,9766.138905483815,TRAFIC CONTENEURISE
2021-01-31,Céréales,14823.20809681764,VRAC SOLIDE
2021-01-31,Engrais,15976.890483246798,VRAC SOLIDE
2021-01-31,Aliments de bétail en vrac,13614.427508814284,VRAC SOLIDE
2021-01-31,Gasoil,1599.7668307968806,HYDROCARBURES
2021-01-31,Gaz liquéfié,3435.8433526236763,HYDROCARBURES
2021-01-31,Essence,4579.959156462175,HYDROCARBURES
2021-01-31,TRAFIC CONTENEURS,2819.733483483664,TRAFIC CONTENEURS
2021-02-28,TRAFIC CONTENEURS,2187.6137145638477,TRAFIC CONTENEURS
2021-02-28,Essence,3083.062324313576,HYDROCARBURES
2021-02-28,Gaz liquéfié,5380.787319712799,HYDROCARBURES
2021-02-28,Gasoil,3549.468180032979,HYDROCARBURES
2021-02-28,Aliments de bétail en vrac,15996.407418858214,VRAC SOLIDE
2021-02-28,Poisson congelé conteneurisé,10749.782967426136,TRAFIC CONTENEURISE
2021-02-28,Céréales,14417.433753321942,VRAC SOLIDE
2021-02-28,Conserve de poisson conteneurisé,10294.292020702667,TRAFIC CONTENEURISE
2021-02-28,Agrumes conteneurisés,6887.770636122646,TRAFIC CONTENEURISE
2021-02-28,Engrais,13527.90156989321,VRAC SOLIDE
2021-03-31,Gasoil,2097.9182739535745,HYDROCARBURES
2021-03-31,TRAFIC CONTENEURS,3110.554154464293,TRAFIC CONTENEURS
2021-03-31,Essence,7984.3670401102645,HYDROCARBURES
2021-03-31,Gaz liquéfié,4212.163601278051,HYDROCARBURES
2021-03-31,Aliments de bétail en vrac,11411.855830676941,VRAC SOLIDE
2021-03-31,Poisson congelé conteneurisé,10500.973318694732,TRAFIC CONTENEURISE
2021-03-31,Céréales,16384.936835114295,VRAC SOLIDE
2021-03-31,Conserve de poisson conteneurisé,11011.741617212472,TRAFIC CONTENEURISE
2021-03-31,Agrumes conteneurisés,7782.283345006771,TRAFIC CONTENEURISE
2021-03-31,Engrais,17085.351101741475,VRAC SOLIDE
2021-04-30,TRAFIC CONTENEURS,3181.5937045943883,TRAFIC CONTENEURS
2021-04-30,Essence,4444.889022529815,HYDROCARBURES
2021-04-30,Gaz liquéfié,4227.612448119842,HYDROCARBURES
2021-04-30,Gasoil,2502.7892672277635,HYDROCARBURES
2021-04-30,Aliments de bétail en vrac,13911.33481698033,VRAC SOLIDE
2021-04-30,Céréales,14774.712140308917,VRAC SOLIDE
2021-04-30,Poisson congelé conteneurisé,12495.606197885732,TRAFIC CONTENEURISE
2021-04-30,Conserve de poisson conteneurisé,9769.401257262267,TRAFIC CONTENEURISE
2021-04-30,Agrumes conteneurisés,8398.039852393043,TRAFIC CONTENEURISE
2021-04-30,Engrais,13389.309013442742,VRAC SOLIDE
2021-05-31,Gasoil,3725.3302224183212,HYDROCARBURES;;;
2021-05-31,TRAFIC CONTENEURS,1794.220774858759,TRAFIC CONTENEURS
2021-05-31,Essence,4691.511224310426,HYDROCARBURES
2021-05-31,Gaz liquéfié,5673.993175680223,HYDROCARBURES
2021-05-31,Aliments de bétail en vrac,12038.783712615646,VRAC SOLIDE
2021-05-31,Conserve de poisson conteneurisé,11837.717436023757,TRAFIC CONTENEURISE
2021-05-31,Céréales,15415.108487389121,VRAC SOLIDE
2021-05-31,Agrumes conteneurisés,8635.271686639935,TRAFIC CONTENEURISE
2021-05-31,Engrais,15454.140988057878,VRAC SOLIDE
2021-05-31,Poisson congelé conteneurisé,5216.000650684013,TRAFIC CONTENEURISE
2021-06-30,Agrumes conteneurisés,11239.23177056435,TRAFIC CONTENEURISE
2021-06-30,Conserve de poisson conteneurisé,7693.736489840687,TRAFIC CONTENEURISE
2021-06-30,Poisson congelé conteneurisé,9985.543485449036,TRAFIC CONTENEURISE
2021-06-30,Céréales,16320.295657539582,VRAC SOLIDE
2021-06-30,Engrais,18188.770448061663,VRAC SOLIDE
2021-06-30,Gasoil,1948.8771192825711,HYDROCARBURES
2021-06-30,Gaz liquéfié,2770.0835375667302,HYDROCARBURES
2021-06-30,Essence,3596.3320976264376,HYDROCARBURES
2021-06-30,TRAFIC CONTENEURS,2710.2039913307767,TRAFIC CONTENEURS
2021-06-30,Aliments de bétail en vrac,15065.823865327658,VRAC SOLIDE
2021-07-31,Aliments de bétail en vrac,14392.295439345837,VRAC SOLIDE
2021-07-31,Essence,4675.056717701024,HYDROCARBURES
2021-07-31,Gaz liquéfié,5213.387211733787,HYDROCARBURES
2021-07-31,Gasoil,2632.2291899264833,HYDROCARBURES
2021-07-31,TRAFIC CONTENEURS,2381.589735722217,TRAFIC CONTENEURS
2021-07-31,Engrais,17183.365162161244,VRAC SOLIDE;;;
2021-07-31,Poisson congelé conteneurisé,13979.203662571046,TRAFIC CONTENEURISE
2021-07-31,Conserve de poisson conteneurisé,9871.083567153748,TRAFIC CONTENEURISE
2021-07-31,Agrumes conteneurisés,11166.126807366916,TRAFIC CONTENEURISE
2021-07-31,Céréales,15014.407523151152,VRAC SOLIDE
2021-08-31,TRAFIC CONTENEURS,3069.3573158291247,TRAFIC CONTENEURS
2021-08-31,Essence,1143.204294947775,HYDROCARBURES
2021-08-31,Gaz liquéfié,3357.622722747298,HYDROCARBURES
2021-08-31,Gasoil,1579.6470873449298,HYDROCARBURES
2021-08-31,Aliments de bétail en vrac,15363.235119440033,VRAC SOLIDE
2021-08-31,Engrais,13258.363408067928,VRAC SOLIDE
2021-08-31,Poisson congelé conteneurisé,9997.43011190517,TRAFIC CONTENEURISE
2021-08-31,Conserve de poisson conteneurisé,7307.136023915065,TRAFIC CONTENEURISE
2021-08-31,Agrumes conteneurisés,11292.646492277927,TRAFIC CONTENEURISE
2021-08-31,Céréales,17746.505699302666,VRAC SOLIDE
2021-09-30,Gaz liquéfié,4429.573762296241,HYDROCARBURES
2021-09-30,TRAFIC CONTENEURS,2912.445290160921,TRAFIC CONTENEURS
2021-09-30,Essence,7575.143351451101,HYDROCARBURES
2021-09-30,Aliments de bétail en vrac,17653.469849485093,VRAC SOLIDE
2021-09-30,Gasoil,3118.386086345441,HYDROCARBURES
2021-09-30,Céréales,15502.447978356202,VRAC SOLIDE
2021-09-30,Engrais,17847.893204158157,VRAC SOLIDE
2021-09-30,Poisson congelé conteneurisé,11685.730796809212,TRAFIC CONTENEURISE
2021-09-30,Conserve de poisson conteneurisé,7391.256088776087,TRAFIC CONTENEURISE
2021-09-30,Agrumes conteneurisés,12023.37245053346,TRAFIC CONTENEURISE
2021-10-31,TRAFIC CONTENEURS,2042.8023358315004,TRAFIC CONTENEURS
2021-10-31,Essence,6712.341380653549,HYDROCARBURES
2021-10-31,Gaz liquéfié,5043.961567065125,HYDROCARBURES
2021-10-31,Gasoil,7179.617619387069,HYDROCARBURES
2021-10-31,Aliments de bétail en vrac,13258.087408851863,VRAC SOLIDE
2021-10-31,Engrais,16847.42196030794,VRAC SOLIDE
2021-10-31,Céréales,14345.785081314905,VRAC SOLIDE
2021-10-31,Poisson congelé conteneurisé,13929.544464014962,TRAFIC CONTENEURISE
